CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['OPS', '3367', 'A']
OBJECT_ID 	= ['OPS', '3367', 'A']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 36000.0	-4056.9594851542106 -4583.8989220145095 3755.8860988902215 1.5027490027515615 3.7719954720075783 6.240896792956455
59945 36010.0	-4041.6850017389925 -4545.893429424946 3818.1699365152363 1.546369557230746 3.821182125123957 6.2000942558849355
59945 36020.0	-4025.9743585802184 -4507.396695341267 3880.043144341731 1.5898226455255995 3.8699562454401493 6.158623289788097
59945 36030.0	-4009.8292434825044 -4468.412866170551 3941.4990187827607 1.6331035874867978 3.91831257702594 6.116488362990552
59945 36040.0	-3993.2513914920332 -4428.946141444258 4002.5309011515947 1.6762077215388371 3.9662459089507385 6.073694015352272
59945 36050.0	-3976.2425847195727 -4389.000773382918 4063.132178368568 1.7191304051632796 4.01375107582424 6.030244857798294
59945 36060.0	-3958.804652134675 -4348.581066399158 4123.296283748181 1.76186701544019 4.060822958398941 5.986145571780265
59945 36070.0	-3940.9394693917056 -4307.691376682168 4183.016697648387 1.8044129494933825 4.107456484063543 5.941400908825321
59945 36080.0	-3922.6489586116572 -4266.336111684992 4242.286948252597 1.8467636250312067 4.1536466274392865 5.896015689978035
59945 36090.0	-3903.935088192563 -4224.519729684175 4301.100612230741 1.8889144808027758 4.199388410880627 5.849994805320186
59945 36100.0	-3884.799872579645 -4182.24673925416 4359.4513155095565 1.930860977133646 4.2446769050600155 5.80334321339588
59945 36110.0	-3865.2453720727 -4139.521698830883 4417.332733903324 1.972598596363096 4.289507229443014 5.756065940733713
59945 36120.0	-3845.2736925871877 -4096.349216178111 4474.738593867842 2.0141228433711786 4.333874552858168 5.708168081260663
59945 36130.0	-3824.8869854366894 -4052.7339479069424 4531.662673166773 2.0554292460444654 4.377774093997726 5.659654795773516
59945 36140.0	-3804.0874470984754 -4008.680598963858 4588.098801568117 2.096513355764947 4.421201121940664 5.610531311374429
59945 36150.0	-3782.8773189848407 -3964.1939221363145 4644.0408615052365 2.137370747874761 4.464150956647338 5.560802920925017
59945 36160.0	-3761.258887191101 -3919.2787175142703 4699.482788781634 2.177997022174315 4.506618969486703 5.510474982450205
59945 36170.0	-3739.2344822568402 -3873.9398319849033 4754.418573220339 2.218387803381764 4.548600583719816 5.459552918578129
59945 36180.0	-3716.8064789110313 -3828.1821586987726 4808.842259337054 2.2585387416113276 4.590091275000559 5.408042215947017
59945 36190.0	-3693.9772958259455 -3782.010636558723 4862.747946973825 2.298445512824193 4.631086571845146 5.355948424636736
59945 36200.0	-3670.74939533436 -3735.4302496390874 4916.12979200253 2.3381038193327495 4.671582056153648 5.303277157520777
59945 36210.0	-3647.1252831916654 -3688.4460267007535 4968.982006904079 2.3775093902144686 4.711573363635904 5.250034089725359
59945 36220.0	-3623.107508280937 -3641.0630405957645 5021.298861463806 2.4166579818136507 4.751056184324603 5.196224957962861
59945 36230.0	-3598.698662358005 -3593.286407756838 5073.074683358034 2.455545378163912 4.79002626300481 5.141855559960342
