CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['OPS', '3367', 'B']
OBJECT_ID 	= ['OPS', '3367', 'B']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 36000.0	4755.5899961391615 5389.577469740122 89.32599630472025 0.9410693477328144 -0.7082571354434829 -7.346749618361494
59945 36010.0	4764.752513926506 5382.199941053505 15.702459603351414 0.8898799732296814 -0.7661751060273085 -7.3473143557464
59945 36020.0	4773.401610213217 5374.2424526708555 -57.922797207127495 0.8385949570787211 -0.8240107169422025 -7.347087336442291
59945 36030.0	4781.536352216169 5365.705862543248 -131.54181447378397 0.787219816538429 -0.8817577461998007 -7.346068584873522
59945 36040.0	4789.155863026739 5356.591091525706 -205.14663324012497 0.7357600785239116 -0.939409981334002 -7.344258210644732
59945 36050.0	4796.259321702973 5346.899123280013 -278.7292960867333 0.6842212790348154 -0.9969612200439639 -7.341656408529318
59945 36060.0	4802.84596336243 5336.631004162743 -352.28184803629574 0.6326089625371797 -1.0544052708866205 -7.338263458447517
59945 36070.0	4808.915079262325 5325.787843114534 -425.7963373937911 0.580928681389554 -1.1117359539175038 -7.334079725437252
59945 36080.0	4814.466016877037 5314.370811538765 -499.26481661863545 0.5291859952457348 -1.1689471013557111 -7.329105659615564
59945 36090.0	4819.498179971444 5302.381143167871 -572.6793432284736 0.4773864704340261 -1.2260325582725244 -7.323341796128163
59945 36100.0	4824.011028662908 5289.820133932421 -646.0319806380429 0.42553567938105885 -1.2829861832285132 -7.316788755093869
59945 36110.0	4828.004079481527 5276.689141813033 -719.3147990616404 0.373639199989649 -1.3398018489592032 -7.309447241535193
59945 36120.0	4831.4769054199805 5262.98958669609 -792.5198763505576 0.3217026150614336 -1.3964734430093064 -7.301318045305192
59945 36130.0	4834.429135979534 5248.722950217691 -865.6392988618089 0.2697315116963547 -1.4529948683904301 -7.2924020410031645
59945 36140.0	4836.860457210746 5233.890775594049 -938.6651623578924 0.21773148066885217 -1.5093600442618234 -7.2827001878768405
59945 36150.0	4838.770611745005 5218.49466745728 -1011.5895728413758 0.16570811584918177 -1.5655629065598027 -7.2722135297229
59945 36160.0	4840.15939882211 5202.536291671602 -1084.4046474522702 0.11366701357889464 -1.6215974086747944 -7.260943194770252
59945 36170.0	4841.026674309611 5186.017375155937 -1157.1025153002258 0.061613772091589136 -1.6774575220772223 -7.248890395563075
59945 36180.0	4841.3723507172635 5168.939705693575 -1229.6753183273468 0.009553990910730947 -1.7331372369662057 -7.236056428831062
59945 36190.0	4841.196397204972 5151.305131728752 -1302.1152121950158 -0.042506729770989016 -1.7886305629357628 -7.222442675345659
59945 36200.0	4840.49883958365 5133.115562161791 -1374.4143671434535 -0.09456278969407073 -1.8439315296191257 -7.208050599770849
59945 36210.0	4839.279760310421 5114.372966145809 -1446.5649688179888 -0.14660858911180952 -1.8990341873067758 -7.192881750511695
59945 36220.0	4837.539298477086 5095.079372861056 -1518.5592191570304 -0.19863852941549376 -1.953932607610862 -7.176937759541629
