CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['THOR', 'AGENA', 'D', 'RB']
OBJECT_ID 	= ['THOR', 'AGENA', 'D', 'RB']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 36000.0	21.60112075446841 -2085.809726793154 6828.512195159532 -4.074409849376212 5.995406712096875 1.8556271507137487
59945 36010.0	-18.855776436154656 -2026.1611552864113 6846.5704404915 -4.0744373730157175 6.017755669893864 1.7812730867739388
59945 36020.0	-59.312142519515874 -1966.2921046705858 6863.88989854051 -4.074025007919073 6.039454450510155 1.7067278221130677
59945 36030.0	-99.76363479072188 -1906.2089924003938 6880.468675107907 -4.07317279600534 6.060500705822038 1.6319994299376646
59945 36040.0	-140.20591060878792 -1845.918259327958 6896.304954644579 -4.071880826819217 6.080892158366172 1.5570960033129255
59945 36050.0	-180.63462787899653 -1785.4263689917534 6911.397000467679 -4.070149237521029 6.1006266016007284 1.4820256542340484
59945 36060.0	-221.04544547887213 -1724.7398069870865 6925.7431549468365 -4.067978212873123 6.119701900129903 1.4067965128000188
59945 36070.0	-261.434023740753 -1663.8650802497014 6939.341839704055 -4.065367985218901 6.138115989948777 1.3314167262806906
59945 36080.0	-301.7960248779118 -1602.8087164216158 6952.191555785137 -4.062318834459518 6.155866878653301 1.255894458287007
59945 36090.0	-342.12711346716947 -1541.5772631296268 6964.290883842676 -4.058831088021996 6.172952645668767 1.1802378878342048
59945 36100.0	-382.4229568750079 -1480.177287346733 6975.638484292595 -4.05490512082624 6.189371442445178 1.1044552085088042
59945 36110.0	-422.67922574001864 -1418.6153746658165 6986.233097480148 -4.050541355242278 6.205121492669197 1.0285546275283846
59945 36120.0	-462.89159440237245 -1356.8981286514795 6996.073543822303 -4.045740261047135 6.220201092446132 0.952544364899051
59945 36130.0	-503.0557413683473 -1295.0321701361968 7005.158723952496 -4.040502355373407 6.234608610488827 0.876432652505438
59945 36140.0	-543.1673497746121 -1233.0241365141255 7013.487618856134 -4.03482820265201 6.248342488297655 0.8002277331991481
59945 36150.0	-583.2221078171649 -1170.8806810870974 7021.059289990535 -4.028718414554655 6.261401240320431 0.7239378599526605
59945 36160.0	-623.2157092325649 -1108.608472327458 7027.872879407983 -4.022173649923968 6.273783454122704 0.6475712949122525
59945 36170.0	-663.1438537227928 -1046.2141932258237 7033.927609859546 -4.015194614706688 6.285487790531385 0.5711363085565853
59945 36180.0	-703.0022474357077 -983.704540550013 7039.222784900829 -4.0077820618729625 6.2965129837882525 0.4946411787475711
59945 36190.0	-742.7866033891689 -921.0862241894388 7043.757788980554 -3.999936791339965 6.306857841678651 0.41809418988736713
59945 36200.0	-782.4926419539497 -858.365966405006 7047.532087529216 -3.991659649879705 6.316521245668904 0.3415036319610101
59945 36210.0	-822.1160912631478 -795.5505011922328 7050.545227031118 -3.9829515310359938 6.325502151016746 0.26487779971885494
59945 36220.0	-861.6526877112601 -732.6465735004517 7052.796835097242 -3.973813375017877 6.333799586896063 0.1882249916846006
59945 36230.0	-901.098176362525 -669.660938593041 7054.2866205218015 -3.964246168607065 6.341412656492143 0.11155350933687469
